url,city,state,street-address,zipcode,sqft,price,price/sqft
/realestateandhomes-detail/304-Neponset-Ave-Apt-1_Boston_MA_02122_M43914-78258,Boston,MA,304 Neponset Ave Apt 1,2122,"1,273sqft","$639,000 ",$502 
/realestateandhomes-detail/776-Boylston-St-Unit-W11A_Boston_MA_02199_M32832-01235,Boston,MA,776 Boylston St Unit W11A,2199,"3,168sqft","$10,800,000 ","$3,409 "
/realestateandhomes-detail/828-830-E-5th-St-Unit-5_Boston_MA_02127_M93118-63479,Boston,MA,828-830 E 5th St Unit 5,2127,640sqft,"$499,000 ",$780 
/realestateandhomes-detail/1-Avery-St-Apt-10A_Boston_MA_02111_M39488-32081,Boston,MA,1 Avery St Apt 10A,2111,"1,382sqft","$1,200,000 ",$868 
/realestateandhomes-detail/1-Dalton-St-Unit-2805_Boston_MA_02115_M97920-83618,Boston,MA,1 Dalton St Unit 2805,2115,"2,182sqft","$6,200,000 ","$2,841 "
/realestateandhomes-detail/520-E-8th-St_Boston_MA_02127_M37304-92850,Boston,MA,520 E 8th St,2127,"1,070sqft","$949,000 ",$887 
/realestateandhomes-detail/36-Tennis-Rd_Boston_MA_02126_M42020-95798,Boston,MA,36 Tennis Rd,2126,"3,196sqft","$850,000 ",$266 
/realestateandhomes-detail/18-Armandine-St-Apt-1_Boston_MA_02124_M33107-31105,Boston,MA,18 Armandine St Apt 1,2124,993sqft,"$499,000 ",$503 
/realestateandhomes-detail/5R-Trenton-St-Unit-5_East-Boston_MA_02128_M93967-21201,Boston,MA,5R Trenton St Unit 5,2128,880sqft,"$574,900 ",$653 
/realestateandhomes-detail/35-Castleton-St_Boston_MA_02130_M34384-41584,Boston,MA,35 Castleton St Unit 35,2130,"1,982sqft","$1,100,000 ",$555 
/realestateandhomes-detail/791-E-3rd-St-2_Boston_MA_02127_M95572-36056,Boston,MA,791 E Third St Unit 2,2127,"2,531sqft","$2,250,000 ",$889 
/realestateandhomes-detail/78-Stratford-St_Boston_MA_02132_M39162-26307,Boston,MA,78 Stratford St,2132,"3,000sqft","$1,599,000 ",$533 
/realestateandhomes-detail/100-Shawmut-Ave-Unit-706_Boston_MA_02118_M94381-00807,Boston,MA,100 Shawmut Ave Unit 706,2118,"1,515sqft","$1,999,900 ","$1,320 "
/realestateandhomes-detail/23-Tileston-St_Boston_MA_02113_M38764-37653,Boston,MA,23 Tileston St,2113,"2,844sqft","$2,299,000 ",$808 
/realestateandhomes-detail/55-Paine-St_Boston_MA_02131_M35008-15326,Boston,MA,55 Paine St,2131,"1,216sqft","$599,000 ",$493 
/realestateandhomes-detail/5-Taylor-St_Boston_MA_02118_M44249-84103,Boston,MA,5 Taylor St,2118,"2,040sqft","$2,795,000 ","$1,370 "
/realestateandhomes-detail/4925-Washington-St-Apt-408_Boston_MA_02132_M34057-46054,Boston,MA,4925 Washington St Apt 408,2132,740sqft,"$299,000 ",$404 
/realestateandhomes-detail/100-Shawmut-Ave-Unit-1111_Boston_MA_02118_M99748-63678,Boston,MA,100 Shawmut Ave Unit 1111,2118,598sqft,"$814,900 ","$1,363 "
/realestateandhomes-detail/200-Everett-St-1_Boston_MA_02128_M31440-94564,Boston,MA,200 Everett St Unit 1,2128,"1,808sqft","$749,900 ",$415 
/realestateandhomes-detail/100-Shawmut-Ave-Unit-1101_Boston_MA_02118_M94347-39431,Boston,MA,100 Shawmut Ave Unit 1101,2118,817sqft,"$1,199,000 ","$1,468 "
/realestateandhomes-detail/141-Chelsea-St_East-Boston_MA_02128_M34442-49996,Boston,MA,141 Chelsea St,2128,"3,030sqft","$999,000 ",$330 
/realestateandhomes-detail/1789-Centre-St-Unit-402_Boston_MA_02132_M93816-78999,Boston,MA,1789 Centre St Unit 402,2132,"1,255sqft","$725,000 ",$578 
/realestateandhomes-detail/345-Beacon-St-7N8N_Boston_MA_02108_M96943-97609,Boston,MA,34.5 Beacon St Units 7N & 8N,2108,"5,366sqft","$15,400,000 ","$2,870 "
/realestateandhomes-detail/133-Seaport-Blvd-Unit-1908_Boston_MA_02210_M96149-87659,Boston,MA,133 Seaport Blvd Unit 1908,2210,"1,559sqft","$3,150,000 ","$2,021 "
/realestateandhomes-detail/841-843-Columbia-Rd_Boston_MA_02125_M90064-32278,Boston,MA,841-843 Columbia Rd,2125,"4,269sqft","$3,300,000 ",$773 
/realestateandhomes-detail/240-Devonshire-St-Unit-3707_Boston_MA_02110_M90893-86021,Boston,MA,240 Devonshire St Unit 3707,2110,882sqft,"$1,525,000 ","$1,729 "
/realestateandhomes-detail/46-Belgrade-Ave-5_Boston_MA_02131_M90360-29458,Boston,MA,46 Belgrade Ave Unit 5,2131,"1,342sqft","$1,000,000 ",$745 
/realestateandhomes-detail/46-Belgrade-Ave-2_Boston_MA_02131_M96233-32554,Boston,MA,46 Belgrade Ave Unit 2,2131,"1,176sqft","$845,000 ",$719 
/realestateandhomes-detail/32-Myrtle-St-Apt-4-1_Boston_MA_02114_M46861-17934,Boston,MA,32 Myrtle St Apt 4-1,2114,653sqft,"$739,000 ","$1,132 "
/realestateandhomes-detail/240-Devonshire-St-Unit-6008_Boston_MA_02110_M96599-86409,Boston,MA,240 Devonshire St Unit 6008,2110,"2,484sqft","$5,725,000 ","$2,305 "
/realestateandhomes-detail/25-Melrose-St_Boston_MA_02116_M36185-86373,Boston,MA,25 Melrose St,2116,"2,500sqft","$2,400,000 ",$960 
/realestateandhomes-detail/172-Beacon-St-5_Boston_MA_02116_M46675-96760,Boston,MA,172 Beacon St Unit 5,2116,"3,240sqft","$4,875,000 ","$1,505 "
/realestateandhomes-detail/346-354-Congress-St-Unit-309_Boston_MA_02210_M93049-37459,Boston,MA,346-354 Congress St Unit 309,2210,"1,027sqft","$1,129,000 ","$1,099 "
/realestateandhomes-detail/39-Higgins-St_Boston_MA_02134_M91311-87275,Boston,MA,39 Higgins St,2134,"1,960sqft","$699,900 ",$357 
/realestateandhomes-detail/4-Clement-Ave_Boston_MA_02132_M47543-00088,Boston,MA,4 Clement Ave,2132,"1,680sqft","$849,900 ",$506 
/realestateandhomes-detail/38-Appleton-St-1_Boston_MA_02116_M35657-04777,Boston,MA,38 Appleton St Unit 1,2116,446sqft,"$599,000 ","$1,343 "
/realestateandhomes-detail/69-Church-St-1_Boston_MA_02116_M95403-48891,Boston,MA,69 Church St Unit 1,2116,961sqft,"$1,350,000 ","$1,405 "
/realestateandhomes-detail/85-E-India-Row-Apt-9G_Boston_MA_02110_M33303-67202,Boston,MA,85 E India Row Apt 9G,2110,"1,212sqft","$1,199,995 ",$990 
/realestateandhomes-detail/42-Rutland-Sq-Apt-3_Boston_MA_02118_M37553-32539,Boston,MA,42 Rutland Sq Apt 3,2118,"1,481sqft","$2,000,000 ","$1,350 "
/realestateandhomes-detail/49-49B-Charles-St_Boston_MA_02114_M95844-88290,Boston,MA,49-49B Charles St,2114,"3,200sqft","$3,199,999 ","$1,000 "
/realestateandhomes-detail/151-Tremont-St-Apt-8F_Boston_MA_02111_M43372-22809,Boston,MA,151 Tremont St Apt 8F,2111,"1,050sqft","$1,350,000 ","$1,286 "
/realestateandhomes-detail/1-Nassau-St-Unit-2204_Boston_MA_02111_M39138-57031,Boston,MA,1 Nassau St Unit 2204,2111,"1,749sqft","$1,649,000 ",$943 
/realestateandhomes-detail/110-Sudbury-St-Unit-4205_Boston_MA_02114_M98941-72955,Boston,MA,110 Sudbury St Unit 4205,2114,"1,848sqft","$3,750,000 ","$2,029 "
/realestateandhomes-detail/340-W-2nd-St-Apt-28_Boston_MA_02127_M97135-32968,Boston,MA,340 W 2nd St Apt 28,2127,"1,670sqft","$1,525,000 ",$913 
/realestateandhomes-detail/15-17-Cushman-Rd_Boston_MA_02135_M90951-85264,Boston,MA,15-17 Cushman Rd,2135,"2,600sqft","$989,000 ",$380 
